员工编号,年龄,性别,婚姻状况,婚姻状况编码,学历,学历编码,专业,是否成年,部门,岗位,职级,出差频率,出差频率编码,离家距离,是否加班,是否加班编码,标准工时,年度培训次数,总工龄,本企业工龄,现岗年限,晋升间隔,与现任经理共事年限,跳槽次数,月收入,时薪,日薪,月薪,调薪幅度,股权激励等级,股权激励等级编码,环境满意,环境满意编码,人际关系满意,人际关系满意编码,工作满意,工作满意编码,敬业度,敬业度编码,工作与生活平衡,工作与生活平衡编码,绩效评级,绩效评级编码,是否离职,是否离职编码,员工计数
926,22,女,已婚,1,大专以下,1,生命科学,是,研发部,制造总监,2,偶尔出差,0,3,是,1,80,3,4,3,2,0,2,0,4171,34,617,10022,0.19,低级,1,中,2,低,1,高,3,高,3,最好,4,优秀,3,是,1,1
927,41,女,离异,2,硕士,4,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,2,是,1,80,1,10,7,7,1,0,4,2778,57,1085,17725,0.13,低级,1,中,2,高,3,非常高,4,低,1,好,2,优秀,3,是,1,1
930,28,女,离异,2,本科,3,医学,是,研发部,研究科学家,1,偶尔出差,0,9,否,0,80,2,6,2,2,2,2,5,2377,77,995,9834,0.18,低级,1,高,3,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
932,39,男,已婚,1,本科,3,医学,是,研发部,实验室技术员,1,偶尔出差,0,6,是,1,80,2,8,2,2,2,2,7,2404,70,1122,4303,0.21,无,0,非常高,4,非常高,4,低,1,高,3,差,1,杰出,4,是,1,1
933,27,女,单身,0,本科,3,生命科学,是,研发部,研究科学家,1,偶尔出差,0,4,否,0,80,2,1,1,1,0,0,1,2318,76,618,17808,0.19,无,0,中,2,高,3,高,3,高,3,更好,3,优秀,3,否,0,1
934,34,男,离异,2,本科,3,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,10,否,0,80,3,1,1,0,1,0,1,2008,83,546,6896,0.14,中级,2,中,2,中,2,中,2,高,3,更好,3,优秀,3,否,0,1
936,42,女,单身,0,大专,2,医学,是,销售部,销售主管,2,偶尔出差,0,14,否,0,80,6,10,5,4,0,3,7,6244,68,462,7824,0.17,无,0,高,3,低,1,高,3,中,2,更好,3,优秀,3,否,0,1
939,33,男,单身,0,硕士,4,其他,是,研发部,研究科学家,1,偶尔出差,0,1,是,1,80,1,6,3,2,0,2,3,2799,100,1198,3339,0.11,无,0,高,3,中,2,低,1,中,2,更好,3,优秀,3,否,0,1
940,58,女,离异,2,本科,3,工程技术,是,研发部,医疗代表,3,偶尔出差,0,5,是,1,80,3,24,6,0,0,4,2,10552,37,1272,9255,0.13,低级,1,高,3,非常高,4,中,2,中,2,更好,3,优秀,3,否,0,1
941,31,男,已婚,1,硕士,4,生命科学,是,销售部,销售代表,1,偶尔出差,0,7,否,0,80,2,13,7,7,5,2,3,2329,41,154,11737,0.15,无,0,中,2,中,2,高,3,中,2,最好,4,优秀,3,否,0,1
942,35,女,已婚,1,大专以下,1,生命科学,是,研发部,医疗代表,2,偶尔出差,0,21,是,1,80,2,10,10,6,0,7,1,4014,51,1137,19170,0.25,低级,1,非常高,4,非常高,4,非常高,4,高,3,差,1,杰出,4,否,0,1
944,49,女,已婚,1,大专,2,其他,是,研发部,实验室技术员,3,偶尔出差,0,8,否,0,80,3,29,26,9,1,7,4,7403,51,527,22477,0.11,低级,1,低,1,高,3,中,2,高,3,好,2,优秀,3,否,0,1
945,48,男,已婚,1,硕士,4,医学,是,研发部,研究科学家,1,偶尔出差,0,20,否,0,80,2,13,0,0,0,0,4,2259,51,1469,5543,0.17,中级,2,非常高,4,低,1,高,3,高,3,好,2,优秀,3,否,0,1
947,31,女,已婚,1,大专,2,市场营销,是,销售部,销售主管,2,不出差,2,20,否,0,80,2,9,9,8,0,0,1,6932,45,1188,24406,0.13,低级,1,非常高,4,非常高,4,高,3,高,3,好,2,优秀,3,否,0,1
949,36,男,单身,0,硕士,4,其他,是,研发部,研究科学家,1,偶尔出差,0,7,否,0,80,6,8,6,2,0,1,2,4678,65,188,23293,0.18,无,0,中,2,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
950,38,女,已婚,1,本科,3,工程技术,是,研发部,研究总监,3,偶尔出差,0,1,否,0,80,3,15,15,12,5,11,1,13582,80,1333,16292,0.13,低级,1,非常高,4,中,2,低,1,高,3,更好,3,优秀,3,否,0,1
951,32,女,已婚,1,本科,3,生命科学,是,研发部,实验室技术员,1,不出差,2,1,否,0,80,3,5,3,0,0,2,6,2332,70,1184,3974,0.2,无,0,高,3,高,3,中,2,中,2,更好,3,杰出,4,否,0,1
952,25,男,已婚,1,大专,2,市场营销,是,销售部,销售代表,1,偶尔出差,0,19,是,1,80,2,1,1,0,0,0,1,2413,36,867,18798,0.18,高级,3,高,3,高,3,中,2,中,2,更好,3,优秀,3,是,1,1
954,40,男,离异,2,硕士,4,市场营销,是,销售部,销售主管,3,偶尔出差,0,10,否,0,80,2,11,1,0,0,0,2,9705,67,658,20652,0.12,低级,1,低,1,中,2,中,2,中,2,好,2,优秀,3,否,0,1
956,26,男,单身,0,本科,3,医学,是,销售部,销售主管,2,频繁出差,1,1,否,0,80,2,7,7,7,0,7,1,4294,52,1283,11148,0.12,无,0,高,3,中,2,低,1,中,2,更好,3,优秀,3,否,0,1
957,41,男,单身,0,本科,3,医学,是,研发部,实验室技术员,1,偶尔出差,0,6,是,1,80,3,20,18,13,2,17,2,4721,59,263,3119,0.13,无,0,非常高,4,高,3,低,1,高,3,更好,3,优秀,3,否,0,1
958,36,男,单身,0,硕士,4,医学,是,研发部,实验室技术员,1,偶尔出差,0,2,否,0,80,6,16,11,8,3,9,4,2519,79,938,12287,0.21,无,0,高,3,高,3,高,3,高,3,更好,3,杰出,4,否,0,1
959,19,男,单身,0,本科,3,其他,是,销售部,销售代表,1,偶尔出差,0,21,是,1,80,3,1,1,0,0,0,1,2121,37,419,9947,0.13,无,0,非常高,4,中,2,中,2,中,2,最好,4,优秀,3,是,1,1
960,20,男,单身,0,本科,3,工程技术,是,研发部,实验室技术员,1,偶尔出差,0,4,否,0,80,2,1,1,0,0,0,1,2973,84,129,13008,0.19,无,0,低,1,中,2,低,1,高,3,更好,3,优秀,3,是,1,1
961,31,女,已婚,1,本科,3,医学,是,研发部,医疗代表,2,偶尔出差,0,12,是,1,80,2,10,9,7,8,5,0,5855,41,616,17369,0.11,中级,2,非常高,4,高,3,非常高,4,高,3,差,1,优秀,3,否,0,1
964,40,男,离异,2,硕士,4,医学,是,研发部,研究科学家,1,频繁出差,1,9,是,1,80,2,3,1,1,0,0,8,3617,35,1469,25063,0.14,低级,1,非常高,4,非常高,4,中,2,高,3,更好,3,优秀,3,否,0,1
966,32,女,已婚,1,硕士,4,医学,是,研发部,制造总监,2,偶尔出差,0,3,否,0,80,2,8,8,7,6,3,1,6725,93,498,13554,0.12,低级,1,高,3,高,3,低,1,高,3,最好,4,优秀,3,否,0,1
967,36,男,已婚,1,大专以下,1,生命科学,是,销售部,销售主管,3,偶尔出差,0,3,是,1,80,6,16,16,7,3,7,1,10325,51,530,5518,0.11,低级,1,高,3,低,1,非常高,4,中,2,更好,3,优秀,3,是,1,1
969,33,女,单身,0,本科,3,生命科学,是,研发部,医疗代表,2,偶尔出差,0,1,否,0,80,3,6,5,0,1,4,0,6949,42,1069,12291,0.14,无,0,中,2,低,1,非常高,4,中,2,更好,3,优秀,3,否,0,1
970,37,男,已婚,1,硕士,4,生命科学,是,销售部,销售主管,3,偶尔出差,0,1,否,0,80,2,17,14,1,11,7,5,10609,46,625,14922,0.11,无,0,低,1,高,3,高,3,中,2,差,1,优秀,3,是,1,1
972,45,男,已婚,1,大专,2,生命科学,是,研发部,实验室技术员,2,不出差,2,4,否,0,80,5,9,9,7,0,8,1,4447,57,805,23163,0.12,无,0,高,3,中,2,中,2,高,3,好,2,优秀,3,否,0,1
974,29,女,已婚,1,本科,3,工程技术,是,销售部,销售代表,1,频繁出差,1,20,否,0,80,5,3,3,1,0,2,1,2157,84,1404,18203,0.15,低级,1,高,3,中,2,非常高,4,高,3,更好,3,优秀,3,否,0,1
975,35,女,已婚,1,本科,3,医学,是,销售部,销售主管,2,偶尔出差,0,18,否,0,80,3,5,5,2,1,0,1,4601,86,1219,6179,0.16,无,0,高,3,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
976,52,男,已婚,1,大专,2,生命科学,是,研发部,经理,4,偶尔出差,0,1,否,0,80,2,26,9,8,7,8,2,17099,70,1053,13829,0.15,低级,1,非常高,4,中,2,非常高,4,高,3,好,2,优秀,3,否,0,1
977,58,男,单身,0,本科,3,工程技术,是,研发部,研究科学家,1,偶尔出差,0,2,否,0,80,4,7,1,0,0,0,4,2479,51,289,26227,0.24,无,0,非常高,4,低,1,高,3,高,3,更好,3,杰出,4,是,1,1
981,53,男,离异,2,大专,2,医学,是,销售部,经理,4,偶尔出差,0,2,否,0,80,3,22,17,13,15,2,6,14852,45,1376,13938,0.13,低级,1,高,3,高,3,高,3,高,3,最好,4,优秀,3,否,0,1
982,30,男,离异,2,大专,2,其他,是,销售部,销售主管,3,偶尔出差,0,8,否,0,80,2,10,8,4,7,7,5,7264,62,231,9977,0.11,低级,1,高,3,低,1,高,3,高,3,最好,4,优秀,3,否,0,1
983,38,女,单身,0,本科,3,工程技术,是,销售部,销售主管,2,不出差,2,10,是,1,80,1,6,5,3,1,3,1,5666,85,152,19899,0.13,无,0,高,3,中,2,非常高,4,高,3,更好,3,优秀,3,否,0,1
984,35,男,离异,2,硕士,4,生命科学,是,销售部,销售主管,3,偶尔出差,0,3,否,0,80,2,12,10,9,0,8,6,7823,92,882,6812,0.13,低级,1,非常高,4,中,2,非常高,4,高,3,更好,3,优秀,3,否,0,1
985,39,男,单身,0,博士,5,生命科学,是,销售部,销售主管,3,偶尔出差,0,2,否,0,80,3,9,8,7,0,7,0,7880,41,903,2560,0.18,无,0,低,1,非常高,4,高,3,非常高,4,更好,3,优秀,3,否,0,1
986,40,女,单身,0,本科,3,生命科学,是,销售部,销售主管,4,不出差,2,24,是,1,80,2,22,1,0,0,0,4,13194,100,1479,17071,0.16,无,0,中,2,非常高,4,中,2,非常高,4,好,2,优秀,3,是,1,1
987,47,男,离异,2,硕士,4,医学,是,研发部,制造总监,2,频繁出差,1,16,是,1,80,3,20,19,10,2,7,1,5067,64,1379,6759,0.19,无,0,高,3,高,3,高,3,非常高,4,最好,4,优秀,3,否,0,1
990,36,男,离异,2,硕士,4,工程技术,是,销售部,销售主管,2,不出差,2,8,否,0,80,3,12,7,7,0,7,4,5079,84,1229,25952,0.13,中级,2,低,1,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
991,31,男,单身,0,大专,2,医学,是,研发部,研究科学家,1,不出差,2,9,是,1,80,0,4,3,2,1,2,0,2321,46,335,10322,0.22,无,0,高,3,低,1,低,1,中,2,更好,3,杰出,4,是,1,1
992,33,男,单身,0,本科,3,生命科学,是,销售部,经理,4,不出差,2,17,否,0,80,2,10,10,8,6,0,1,17444,38,722,20489,0.11,无,0,非常高,4,非常高,4,高,3,高,3,更好,3,优秀,3,否,0,1
994,29,女,单身,0,本科,3,生命科学,是,研发部,研究科学家,1,偶尔出差,0,10,是,1,80,5,3,0,0,0,0,6,2404,92,906,11479,0.2,无,0,非常高,4,高,3,低,1,中,2,更好,3,杰出,4,是,1,1
995,33,女,单身,0,大专以下,1,生命科学,是,研发部,研究科学家,1,偶尔出差,0,13,否,0,80,4,5,3,2,0,2,3,3452,53,461,17241,0.18,无,0,中,2,低,1,非常高,4,高,3,更好,3,优秀,3,否,0,1
996,45,女,离异,2,硕士,4,医学,是,研发部,实验室技术员,1,偶尔出差,0,1,否,0,80,2,8,5,3,0,2,3,2270,91,974,11005,0.14,中级,2,非常高,4,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
997,50,男,离异,2,大专,2,医学,是,研发部,研究总监,4,偶尔出差,0,1,否,0,80,1,32,5,4,1,3,9,17399,66,1126,6615,0.22,低级,1,非常高,4,高,3,非常高,4,高,3,好,2,杰出,4,否,0,1
998,33,女,已婚,1,硕士,4,其他,是,研发部,医疗代表,2,频繁出差,1,1,是,1,80,2,6,6,5,1,2,1,5488,84,827,20161,0.13,低级,1,高,3,低,1,中,2,非常高,4,更好,3,优秀,3,否,0,1
999,41,男,离异,2,本科,3,医学,是,研发部,研究总监,5,频繁出差,1,9,否,0,80,2,21,18,16,0,11,2,19419,64,840,3735,0.17,低级,1,低,1,中,2,高,3,高,3,最好,4,优秀,3,否,0,1
1001,27,女,已婚,1,硕士,4,工程技术,是,研发部,实验室技术员,1,偶尔出差,0,16,否,0,80,2,4,2,2,2,2,9,2811,37,1134,12086,0.14,低级,1,高,3,中,2,中,2,高,3,更好,3,优秀,3,否,0,1
1002,45,男,已婚,1,大专,2,生命科学,是,研发部,实验室技术员,2,不出差,2,23,是,1,80,2,9,9,8,0,8,1,3633,42,248,14039,0.15,低级,1,非常高,4,高,3,低,1,高,3,更好,3,优秀,3,否,0,1
1003,47,女,单身,0,大专,2,生命科学,是,销售部,销售主管,2,偶尔出差,0,4,是,1,80,0,9,9,0,0,7,1,4163,83,955,8571,0.17,无,0,非常高,4,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
1004,30,女,已婚,1,本科,3,生命科学,是,研发部,研究科学家,1,偶尔出差,0,22,是,1,80,2,7,5,2,0,1,4,2132,48,138,11539,0.11,无,0,低,1,中,2,高,3,高,3,更好,3,优秀,3,是,1,1
1005,50,男,已婚,1,本科,3,生命科学,是,研发部,制造总监,4,偶尔出差,0,24,是,1,80,2,22,12,11,1,5,3,13973,95,939,4161,0.18,低级,1,非常高,4,非常高,4,高,3,高,3,更好,3,优秀,3,否,0,1
1006,38,男,已婚,1,大专以下,1,医学,是,研发部,研究科学家,1,频繁出差,1,10,否,0,80,0,3,2,1,0,2,0,2684,66,1391,12127,0.17,低级,1,高,3,中,2,高,3,高,3,好,2,优秀,3,否,0,1
1007,46,男,离异,2,大专,2,医学,是,研发部,制造总监,3,偶尔出差,0,7,否,0,80,3,13,8,7,0,7,6,10845,75,566,24208,0.13,低级,1,非常高,4,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
1009,24,女,离异,2,大专以下,1,医学,是,研发部,制造总监,2,偶尔出差,0,17,否,0,80,6,5,4,2,3,2,1,4377,41,1206,24117,0.15,中级,2,非常高,4,中,2,高,3,中,2,更好,3,优秀,3,否,0,1
1010,35,男,离异,2,硕士,4,其他,是,研发部,实验室技术员,1,偶尔出差,0,14,是,1,80,2,5,4,2,0,2,1,3743,39,622,10074,0.24,低级,1,高,3,非常高,4,中,2,中,2,差,1,杰出,4,是,1,1
1011,31,女,已婚,1,大专以下,1,生命科学,是,研发部,制造总监,2,频繁出差,1,1,否,0,80,1,4,4,3,0,3,1,4148,96,853,11275,0.12,低级,1,高,3,高,3,低,1,高,3,更好,3,优秀,3,否,0,1
1012,18,男,单身,0,大专,2,生命科学,是,研发部,研究科学家,1,不出差,2,5,否,0,80,2,0,0,0,0,0,1,1051,73,287,13493,0.15,无,0,中,2,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
1013,54,女,已婚,1,本科,3,工程技术,是,研发部,制造总监,3,偶尔出差,0,17,否,0,80,2,22,10,7,0,8,8,10739,56,1441,13943,0.11,低级,1,高,3,高,3,高,3,高,3,更好,3,优秀,3,否,0,1
1014,35,女,离异,2,硕士,4,医学,是,研发部,医疗代表,3,偶尔出差,0,25,是,1,80,3,16,16,10,10,1,1,10388,57,583,6975,0.11,低级,1,高,3,高,3,高,3,高,3,好,2,优秀,3,否,0,1
1015,30,女,已婚,1,大专,2,生命科学,是,研发部,研究总监,3,偶尔出差,0,8,是,1,80,4,9,8,7,1,7,0,11416,73,153,17802,0.12,高级,3,中,2,高,3,低,1,非常高,4,好,2,优秀,3,否,0,1
1016,20,女,单身,0,本科,3,医学,是,研发部,研究科学家,1,偶尔出差,0,11,是,1,80,2,1,1,0,0,0,1,2600,98,1097,18275,0.15,无,0,非常高,4,低,1,低,1,中,2,更好,3,优秀,3,是,1,1
1017,30,女,单身,0,本科,3,医学,是,研发部,实验室技术员,1,频繁出差,1,5,否,0,80,3,4,3,2,1,2,0,2422,60,109,25725,0.17,无,0,中,2,低,1,中,2,高,3,更好,3,优秀,3,是,1,1
1018,26,男,已婚,1,大专,2,医学,是,研发部,制造总监,2,偶尔出差,0,2,否,0,80,2,8,8,7,1,3,1,5472,32,1066,3334,0.12,无,0,非常高,4,中,2,非常高,4,非常高,4,更好,3,优秀,3,否,0,1
1019,22,男,已婚,1,大专以下,1,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,8,否,0,80,3,4,4,3,1,1,1,2451,94,217,6881,0.15,低级,1,中,2,低,1,低,1,低,1,好,2,优秀,3,否,0,1
1022,48,男,单身,0,本科,3,生命科学,是,研发部,医疗代表,2,偶尔出差,0,6,否,0,80,0,19,2,2,2,2,2,4240,97,277,13119,0.13,无,0,低,1,非常高,4,高,3,中,2,更好,3,优秀,3,否,0,1
1024,48,男,单身,0,硕士,4,生命科学,是,研发部,医疗代表,3,偶尔出差,0,4,否,0,80,3,27,15,11,4,8,7,10999,78,1355,22245,0.14,无,0,高,3,中,2,高,3,中,2,更好,3,优秀,3,否,0,1
1025,41,女,单身,0,大专,2,医学,是,研发部,制造总监,2,偶尔出差,0,7,否,0,80,6,8,2,2,2,1,6,5003,42,549,23371,0.14,无,0,非常高,4,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
1026,39,女,已婚,1,大专以下,1,生命科学,是,研发部,制造总监,4,偶尔出差,0,1,否,0,80,3,21,21,6,11,8,1,12742,65,466,7060,0.16,低级,1,非常高,4,高,3,非常高,4,中,2,更好,3,优秀,3,否,0,1
1027,27,女,已婚,1,硕士,4,生命科学,是,研发部,制造总监,2,偶尔出差,0,2,否,0,80,2,4,3,2,2,2,0,4227,47,1055,4658,0.18,低级,1,低,1,中,2,非常高,4,高,3,更好,3,优秀,3,否,0,1
1028,35,男,离异,2,本科,3,其他,是,研发部,实验室技术员,1,偶尔出差,0,10,否,0,80,4,3,3,2,1,2,1,3917,45,802,9541,0.2,低级,1,中,2,低,1,非常高,4,高,3,好,2,杰出,4,否,0,1
1029,42,男,已婚,1,大专,2,市场营销,是,销售部,经理,5,偶尔出差,0,5,否,0,80,3,21,1,0,0,0,6,18303,90,265,7770,0.13,无,0,非常高,4,中,2,高,3,高,3,最好,4,优秀,3,否,0,1
1030,50,男,已婚,1,本科,3,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,9,否,0,80,5,8,1,0,0,0,4,2380,64,804,20165,0.18,无,0,低,1,中,2,非常高,4,高,3,更好,3,优秀,3,否,0,1
1032,59,女,单身,0,本科,3,生命科学,是,研发部,制造总监,4,偶尔出差,0,2,是,1,80,4,30,5,3,4,3,3,13726,69,715,21829,0.13,无,0,高,3,低,1,非常高,4,中,2,更好,3,优秀,3,否,0,1
1033,37,女,已婚,1,大专,2,医学,是,研发部,医疗代表,2,偶尔出差,0,11,否,0,80,2,15,1,0,0,0,5,4777,61,1141,14382,0.15,无,0,低,1,低,1,中,2,低,1,差,1,优秀,3,是,1,1
1034,55,男,已婚,1,硕士,4,医学,是,研发部,医疗代表,2,频繁出差,1,18,是,1,80,3,17,8,7,6,7,3,6385,62,135,12992,0.14,中级,2,高,3,非常高,4,中,2,高,3,更好,3,优秀,3,否,0,1
1035,41,女,离异,2,大专以下,1,生命科学,是,研发部,研究总监,5,不出差,2,7,否,0,80,3,21,21,16,5,10,1,19973,55,247,20284,0.22,中级,2,中,2,中,2,高,3,低,1,更好,3,杰出,4,否,0,1
1036,38,男,单身,0,硕士,4,生命科学,是,销售部,销售主管,2,偶尔出差,0,3,是,1,80,1,19,1,0,0,0,8,6861,42,1035,4981,0.12,无,0,中,2,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
1037,26,男,单身,0,大专,2,医学,是,销售部,销售主管,2,不出差,2,29,否,0,80,6,7,2,2,2,2,8,4969,79,265,21813,0.18,无,0,中,2,非常高,4,低,1,低,1,更好,3,优秀,3,是,1,1
1038,52,女,已婚,1,大专以下,1,市场营销,是,销售部,经理,5,偶尔出差,0,2,否,0,80,3,33,32,14,6,9,1,19845,57,266,25846,0.15,低级,1,低,1,非常高,4,非常高,4,低,1,更好,3,优秀,3,是,1,1
1039,44,女,已婚,1,本科,3,医学,是,销售部,销售主管,4,偶尔出差,0,28,是,1,80,2,23,12,11,11,11,3,13320,53,1448,11737,0.18,低级,1,非常高,4,高,3,非常高,4,非常高,4,更好,3,优秀,3,否,0,1
1040,50,女,已婚,1,本科,3,生命科学,是,销售部,销售主管,2,不出差,2,1,否,0,80,3,19,18,7,0,13,0,6347,95,145,24920,0.12,低级,1,非常高,4,低,1,高,3,高,3,更好,3,优秀,3,否,0,1
1042,36,女,单身,0,硕士,4,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,16,否,0,80,1,18,17,13,15,14,1,2743,43,885,8269,0.16,无,0,高,3,高,3,低,1,非常高,4,更好,3,优秀,3,是,1,1
1043,39,女,单身,0,本科,3,医学,是,研发部,制造总监,3,频繁出差,1,22,是,1,80,2,21,21,6,2,8,1,10880,82,945,5083,0.13,无,0,非常高,4,高,3,低,1,高,3,更好,3,优秀,3,否,0,1
1044,33,女,单身,0,大专以下,1,生命科学,是,销售部,销售代表,1,不出差,2,8,否,0,80,2,3,2,2,2,2,0,2342,88,1038,21437,0.19,无,0,中,2,非常高,4,非常高,4,中,2,好,2,优秀,3,否,0,1
1045,45,女,已婚,1,大专,2,生命科学,是,销售部,经理,4,偶尔出差,0,11,否,0,80,4,26,9,3,1,1,3,17650,90,1234,5404,0.13,低级,1,非常高,4,中,2,非常高,4,高,3,最好,4,优秀,3,否,0,1
1046,32,女,单身,0,硕士,4,医学,是,研发部,实验室技术员,1,不出差,2,29,否,0,80,2,10,8,7,7,7,9,4025,69,1109,11135,0.12,无,0,非常高,4,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
1047,34,男,离异,2,硕士,4,市场营销,是,销售部,销售主管,2,偶尔出差,0,1,否,0,80,2,16,15,1,0,9,0,9725,75,216,12278,0.11,低级,1,中,2,非常高,4,非常高,4,非常高,4,好,2,优秀,3,否,0,1
1048,59,男,已婚,1,大专,2,工程技术,是,销售部,经理,3,偶尔出差,0,1,是,1,80,1,14,6,4,0,4,3,11904,66,1089,11038,0.14,低级,1,中,2,高,3,非常高,4,高,3,差,1,优秀,3,否,0,1
1049,45,男,单身,0,硕士,4,医学,是,人力资源部,人力资源专员,1,偶尔出差,0,24,否,0,80,3,6,6,3,0,4,1,2177,36,788,8318,0.16,无,0,中,2,低,1,中,2,高,3,更好,3,优秀,3,否,0,1
1050,53,女,已婚,1,本科,3,市场营销,是,销售部,销售主管,3,频繁出差,1,2,否,0,80,2,30,15,7,6,12,2,7525,38,124,23537,0.12,低级,1,高,3,低,1,中,2,中,2,更好,3,优秀,3,否,0,1
1052,36,男,离异,2,本科,3,其他,是,研发部,实验室技术员,2,偶尔出差,0,15,否,0,80,3,9,1,0,0,0,7,4834,81,660,7858,0.14,低级,1,低,1,中,2,高,3,高,3,好,2,优秀,3,是,1,1
1053,26,男,已婚,1,本科,3,生命科学,是,研发部,研究科学家,1,频繁出差,1,2,是,1,80,2,6,3,2,1,2,6,2042,57,342,15346,0.14,低级,1,低,1,中,2,低,1,高,3,更好,3,优秀,3,是,1,1
1055,34,女,已婚,1,硕士,4,生命科学,是,销售部,销售代表,1,偶尔出差,0,10,是,1,80,2,1,1,1,0,0,1,2220,87,1333,18410,0.19,低级,1,高,3,非常高,4,高,3,高,3,更好,3,优秀,3,否,0,1
1056,28,男,已婚,1,大专以下,1,医学,是,销售部,销售代表,1,偶尔出差,0,10,否,0,80,5,1,1,0,0,0,1,1052,74,1144,23384,0.22,无,0,非常高,4,中,2,中,2,高,3,更好,3,杰出,4,否,0,1
1060,38,男,已婚,1,硕士,4,其他,是,研发部,研究科学家,1,频繁出差,1,3,否,0,80,2,8,2,2,2,2,3,2821,44,1186,2997,0.16,低级,1,高,3,低,1,高,3,高,3,更好,3,优秀,3,否,0,1
1061,50,男,已婚,1,硕士,4,医学,是,研发部,研究总监,5,偶尔出差,0,2,是,1,80,2,29,8,1,7,7,2,19237,62,1464,12853,0.11,低级,1,中,2,非常高,4,高,3,高,3,好,2,优秀,3,否,0,1
1062,37,女,单身,0,本科,3,其他,是,研发部,医疗代表,2,偶尔出差,0,3,否,0,80,3,8,4,3,0,1,3,4107,35,124,13848,0.15,无,0,非常高,4,低,1,中,2,高,3,好,2,优秀,3,否,0,1
1066,40,男,已婚,1,本科,3,市场营销,是,销售部,销售主管,2,偶尔出差,0,26,否,0,80,3,8,7,7,7,5,1,8396,74,300,22217,0.14,低级,1,高,3,中,2,低,1,高,3,好,2,优秀,3,否,0,1
1068,26,女,离异,2,大专以下,1,医学,是,研发部,研究科学家,1,频繁出差,1,1,否,0,80,5,5,5,3,1,3,1,2007,66,921,25265,0.13,中级,2,低,1,高,3,高,3,中,2,更好,3,优秀,3,否,0,1
1069,46,男,离异,2,硕士,4,医学,是,研发部,研究总监,5,偶尔出差,0,1,否,0,80,0,23,2,2,2,2,9,19627,40,430,21445,0.17,中级,2,非常高,4,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
1070,54,女,已婚,1,硕士,4,生命科学,是,销售部,销售主管,3,偶尔出差,0,2,否,0,80,4,13,9,4,7,0,6,10686,41,1082,8392,0.11,低级,1,高,3,中,2,高,3,中,2,更好,3,优秀,3,否,0,1
1071,56,女,已婚,1,本科,3,医学,是,研发部,研究科学家,1,频繁出差,1,9,否,0,80,4,18,5,4,0,3,2,2942,63,1240,12154,0.19,低级,1,低,1,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
1073,36,女,单身,0,博士,5,医学,是,研发部,制造总监,3,偶尔出差,0,12,否,0,80,2,15,14,8,7,8,0,8858,51,796,15669,0.11,无,0,非常高,4,中,2,非常高,4,中,2,好,2,优秀,3,否,0,1
1074,55,男,单身,0,大专以下,1,医学,是,研发部,经理,4,不出差,2,2,否,0,80,3,31,9,7,6,2,7,16756,40,444,17323,0.15,无,0,高,3,中,2,低,1,中,2,最好,4,优秀,3,否,0,1
1076,43,男,离异,2,本科,3,医学,是,销售部,销售主管,3,偶尔出差,0,25,否,0,80,5,18,1,0,0,0,5,10798,79,415,5268,0.13,低级,1,高,3,高,3,非常高,4,中,2,更好,3,优秀,3,否,0,1
1077,20,女,单身,0,本科,3,市场营销,是,销售部,销售代表,1,频繁出差,1,9,是,1,80,3,2,2,2,0,2,1,2323,54,769,17205,0.14,无,0,非常高,4,中,2,非常高,4,高,3,更好,3,优秀,3,是,1,1
1079,21,女,单身,0,本科,3,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,10,否,0,80,6,1,1,0,1,0,1,1416,36,1334,17258,0.13,无,0,高,3,低,1,低,1,中,2,好,2,优秀,3,是,1,1
1080,46,女,离异,2,硕士,4,生命科学,是,研发部,研究科学家,2,偶尔出差,0,8,是,1,80,2,19,16,13,1,7,8,4615,74,1003,21029,0.23,高级,3,非常高,4,低,1,低,1,中,2,更好,3,杰出,4,否,0,1
1081,51,男,已婚,1,硕士,4,生命科学,是,研发部,研究科学家,1,偶尔出差,0,4,是,1,80,2,18,10,0,2,7,9,2461,34,1323,10332,0.12,高级,3,低,1,高,3,高,3,高,3,最好,4,优秀,3,是,1,1
1082,28,男,单身,0,大专,2,工程技术,是,研发部,医疗代表,3,不出差,2,24,否,0,80,2,10,10,7,1,9,1,8722,72,1366,12355,0.12,无,0,中,2,低,1,低,1,中,2,好,2,优秀,3,是,1,1
